"filename", "language", "XML", "Markdown", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\package-lock.json", "JSON", 0, 0, 0, 10937, 0, 0, 0, 0, 0, 1, 10938
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 5, 24, 34, 10979, 20, 300, 1213, 25, 55, 220, 12875
